strike_rate,trad_icc,world_icc,trad_sigma_b,world_sigma_b,trad_sigma_w,world_sigma_w
0.1,0.10438660226291264,0.1294111575135241,37.14242837558753,75.79683112237363,318.673620527307,509.90870291902064
0.14,0.09798707163939888,0.11233858982283423,38.76426721488973,74.72366263313234,356.84166902071564,590.4410216572504
0.18,0.1033751326097202,0.102301905475019,48.523515154932035,77.81498753606905,420.8690160075329,682.8256591337099
0.22,0.09185461164332272,0.09767845455868657,47.741788537166286,80.66830032917122,472.0120668549906,745.1873163841807
0.26,0.07654711259350172,0.08102182059664553,44.17413117261968,68.67159932899709,532.9100941619586,778.8975965160075
0.30000000000000004,0.044957670360300836,0.04576439996128029,26.327862305939327,37.856861032642804,559.2866078154425,789.3551435969867
0.33999999999999997,0.07482303198346163,0.07322548187119478,49.644417614220856,64.46868011837503,613.846706685499,815.9445103578154
0.38,0.053438634932284096,0.051151588978983,34.87891404556173,41.890397884389145,617.812048022599,777.0557721280603
0.42000000000000004,0.04529632414859141,0.045299371745707376,33.890155582854604,38.165392255772375,714.2976106403014,804.3494326741996
0.45999999999999996,0.054467343157184205,0.055916767381365244,41.23750476810308,45.35086332273022,715.8676224105461,765.6914312617703
0.5,0.06764590879281933,0.06780263832947317,51.76700425838887,50.86305762804179,713.497372881356,699.3003413370999
0.54,0.03887865822311933,0.036613577179928976,30.468054523598546,25.92078372949933,753.202368173258,682.0347269303201
0.58,0.039015240861316774,0.038659270707630866,29.750650859590547,24.617061319348824,732.788556967985,612.1528742937852
0.62,0.06987860868520483,0.06970411072556822,52.927080894222094,40.167692270411024,704.4875541431262,536.0923281544257
0.66,0.05543902258068266,0.05962014423912582,40.274766203374035,30.22453820153295,686.1948634651601,476.72724105461396
0.7,0.05673077593294536,0.05537467859609997,40.809864948144984,25.354700208897125,678.5503813559321,432.5206473634652
0.74,0.06860839348555947,0.06801988207584217,45.39194515791249,26.75331659980377,616.2172669491525,366.5628107344633
0.78,0.05417882344016602,0.050830431945279975,32.964331737591465,16.29173409269544,575.4713935969868,304.2196892655367
