comparison,trad_gap,world_gap,trad_cohen_d,world_cohen_d,trad_upset,world_upset
Recreational vs Club,41.7479,53.83923999999999,2.3090411560252813,2.370189407872741,0.04602,0.04468
Club vs Competitive,43.5206,51.15260000000001,1.8428839430780204,1.863087414732428,0.09084,0.09516
Competitive vs Elite,32.48230000000001,32.808539999999994,1.2397655899780393,1.2320905741902708,0.18522,0.1891
Elite vs Professional,23.033479999999997,20.616100000000017,0.8803521227483136,0.8834479154705767,0.2619,0.25976
Professional vs Top 10,14.67295999999999,11.887599999999964,0.5852298774275831,0.5919817010244042,0.33238,0.32516
