score,traditional,world_bowling
236,777090,3482550
237,617547,2792940
238,498228,2302860
239,404981,1933920
240,335065,1599447
241,275998,1300020
242,226966,1035990
243,183727,807480
244,148442,614385
245,117291,456372
246,93525,332880
247,73010,243120
248,57960,186075
249,45826,160500
250,37965,136530
251,31193,114270
252,26131,93825
253,21406,75300
254,17422,58800
255,13613,44430
256,10696,32295
257,7975,22500
258,6005,15150
259,4374,10350
260,3534,9225
261,3016,8130
262,2635,7065
263,2264,6030
264,1933,5025
265,1603,4050
266,1323,3105
267,1045,2190
268,810,1305
269,585,450
270,406,415
271,277,380
272,258,345
273,227,310
274,206,275
275,173,240
276,150,205
277,115,170
278,90,135
279,53,100
280,26,10
281,15,10
282,15,10
283,14,10
284,14,10
285,13,10
286,13,10
287,12,10
288,12,10
289,11,10
290,11,0
291,1,0
292,1,0
293,1,0
294,1,0
295,1,0
296,1,0
297,1,0
298,1,0
299,1,0
300,1,1
